,run,algorithm,skips,acc,nmi,ari,L,Lc,Lr,silhouette
32,52,acausal,True,0.54667,0.29374,0.25496,0.00443999981507659,0.0044999998062849045,0.003920000046491623,0.9755645990371704
33,53,acausal,True,0.40717,0.06642,0.02411,0.002050000010058284,0.0020800000056624413,0.001820000004954636,0.9808159470558167
34,54,acausal,True,0.539,0.20141,0.13449,0.005760000087320805,0.0058200000785291195,0.005169999785721302,0.964714527130127
35,56,acausal,False,0.566,0.26338,0.23161,0.0038499999791383743,0.00418000016361475,0.0008399999933317304,0.9803370237350464
36,57,acausal,False,0.64917,0.28055,0.24543,0.010080000385642052,0.010649999603629112,0.00494999997317791,0.9555568099021912
37,58,acausal,False,0.61517,0.27023,0.23575,0.003379999892786145,0.0031300000846385956,0.0056500001810491085,0.983531653881073
38,59,acausal,False,0.44067,0.0909,0.05492,0.004370000213384628,0.004379999823868275,0.0042500002309679985,0.9615217447280884
39,60,acausal,False,0.43583,0.10065,0.07132,0.004650000017136335,0.004819999914616346,0.003100000089034438,0.9772894978523254
40,61,acausal,False,0.36183,0.00447,0.00395,0.0060800001956522465,0.006130000110715628,0.005590000189840794,0.9694247245788574
41,62,acausal,False,0.5855,0.24456,0.18413,0.002309999894350767,0.0023300000466406345,0.002139999996870756,0.9760249257087708
42,63,acausal,False,0.49433,0.13847,0.13997,0.007420000154525042,0.007689999882131815,0.005040000192821026,0.9726347923278809
43,64,acausal,False,0.50183,0.21029,0.17154,0.010889999568462372,0.01155999954789877,0.004910000134259462,0.9725255370140076
44,69,causal,True,0.5965,0.25859,0.21597,0.009410000406205654,0.01027000043541193,0.00171999994199723,0.9744477272033691
45,70,causal,True,0.4465,0.12808,0.05357,0.002409999957308173,0.0022499999031424522,0.003860000055283308,0.9846705794334412
46,71,causal,True,0.44317,0.07398,0.06504,0.009320000186562538,0.009770000353455544,0.005249999929219484,0.9590211510658264
47,72,causal,True,0.55767,0.22487,0.11908,0.003599999938160181,0.0035600000992417336,0.00394000019878149,0.9788011908531189
48,73,causal,True,0.618,0.2778,0.2414,0.01834999956190586,0.019859999418258667,0.0047599999234080315,0.9688502550125122
49,74,causal,True,0.47617,0.13527,0.07879,0.014050000347197056,0.015180000104010105,0.0038300000596791506,0.9455457329750061
50,75,causal,True,0.447,0.05387,0.05712,0.029759999364614487,0.03249000012874603,0.005210000090301037,0.954614520072937
51,76,causal,True,0.42383,0.04704,0.04163,0.01882000081241131,0.02046000026166439,0.004019999876618385,0.9562422037124634
52,77,causal,True,0.59117,0.23472,0.17477,0.014440000057220459,0.015530000440776348,0.004689999856054783,0.957644522190094
